repo_url,commit_sha,commit_message,potential_category,llm_model,llm_classification,llm_reason,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/thunderbird/thunderbird-android.git,0f05520d3ff9bd73f820af222cd8d8bf1d9f4bea,"refactor(drawer): remove toArgb call
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors the `calculateAccountColor` function to accept an `Int` (ARGB color value) instead of a `Color` object, aligning its signature with the `toArgb()` calls added at call sites. This eliminates redundant conversions (e.g., `Color` → `Int` → `Color`) and simplifies type handling, reducing technical debt by improving type consistency and reducing unnecessary intermediate conversions.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/thunderbird/thunderbird-android.git,8f417132b35c9b70afe6cae3cd8d0449b3db9b51,"Cleanup remaining fakes
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors FakeAccountOAuthViewModel to accept an initialState parameter and adds functionality (events list, effect emission) to support better testability and separation of concerns, while replacing FakeAccountOAuthViewModel usage with PreviewAccountOAuthViewModel in preview composables—indicating a cleanup of fake implementations to reduce duplication and improve maintainability, which aligns with reducing technical debt and improving code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,af441730053ec5020b15a3fd008798a6bac03ecb,"cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors the onUpdate method by extracting the canMove() logic into a dedicated private function and reorganizing the conditional logic to reduce nesting and improve readability. The removal of redundant else branch handling and the restructuring of the when expression indicate a code structure improvement aimed at reducing complexity and technical debt, not addressing energy, concurrency, storage, or security issues.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/Ehviewer-Overhauled/Ehviewer.git,53f2c7126b4999b9515dd53a8de91299d74d9471,"Add debug info for tracing resource leak
",SecurityVulnerability,qwen3-coder-next:latest,ConcurrencySmell,"The diff replaces a synchronous call to `archiveAccessor.close()` in `stop()` with a `launchNonCancellable` block that first waits for all jobs in `mJobMap.values` via `joinAll()` before closing the accessor. This ensures proper cleanup ordering in a coroutine context, preventing potential race conditions where the accessor might be closed while background jobs are still using it—indicating a fix for improper coroutine lifecycle management and shared resource access during shutdown.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/bitwarden/android.git,31311964d0e6cf2624cdc8fbfad4068c0a7d554b,"Cleanup minor lint warnings (#5081)

",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes an unused import (androidx.core.graphics.drawable.toDrawable) and replaces a call to .toDrawable() with direct use of ColorDrawable, simplifying the code and eliminating a redundant extension function call. This aligns with lint cleanup efforts to reduce technical debt by improving code clarity and removing unnecessary abstractions, fitting the HighComplexityDebt category as it improves code structure without changing behavior or addressing performance, concurrency, storage, or security concerns.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/bitwarden/android.git,31311964d0e6cf2624cdc8fbfad4068c0a7d554b,"Cleanup minor lint warnings (#5081)

",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes an unused import (androidx.core.graphics.drawable.toDrawable) and replaces a call to .toDrawable() with direct use of ColorDrawable, simplifying the code and eliminating a redundant extension function call. This cleanup reduces indirection and improves code clarity, aligning with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/firebase/quickstart-android.git,fb1c8151a201ea7db67068c40b5ed33b95cf387d,"refactor(crash): implement viewBinding
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces ViewBinding usage with deprecated Kotlin Android Extensions synthetic property access (e.g., `crashButton`, `catchCrashCheckBox`), which increases coupling to layout IDs and reduces type safety. This refactoring regresses to an older, less maintainable pattern, increasing technical debt by reintroducing implicit view access that can lead to runtime crashes and harder-to-maintain code, thus falling under HighComplexityDebt as it degrades code structure and long-term maintainability.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/KotatsuApp/Kotatsu.git,0015c5704a84daa28dd16e15fed84b7822203b50,"Fix ignoring external sources in global search
",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes duplicated logic for retrieving external sources by inlining the `getExternalSources()` method into `observeExternalSources()` and simplifying `getEnabledSources()` by removing redundant manual list construction and external source merging. This reduces code duplication and improves maintainability, aligning with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/open-ani/animeko.git,d2646e18ae2d3f0a1a9a78090297dd5aa0f92ff1,"fix server commit storage
",StorageBloatSmell,qwen3-coder-next:latest,HighComplexityDebt,"The diff removes a `save` parameter from `CommitManager` and eliminates its usage, simplifying the class constructor and removing redundant state persistence logic. Additionally, the `try-catch` block around the event collection in the WebSocket handler is removed, reducing nesting and simplifying control flow, which aligns with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,f0e5c32adabb80844e3af5fa85f963f8ed76e60c,"refactor: commons compress improvements
",StorageBloatSmell,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces Kotlin's `forEach` iteration over tar entries with an explicit `while` loop using manual `nextEntry` calls, which improves control flow and readability. It also restructures the file count validation logic (moving the check outside the loop) to avoid redundant checks per entry and clarifies the loop structure, reducing cognitive complexity and technical debt in the tar extraction logic.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/firebase/quickstart-android.git,0cd26cdf13ef3be4d6901286d5bca5dda571d9d8,"refactor(app-indexing): update to 19.2.0 (#1269)

",HighComplexityDebt,qwen3-coder-next:latest,None,"The commit updates Firebase App Indexing API calls by removing the redundant `Context` parameter from `FirebaseAppIndex.getInstance()` and `FirebaseUserActions.getInstance()`, reflecting an API change in Firebase SDK version 19.2.0. This is a standard API migration refactor, not a code smell fix, as it aligns with updated library usage without altering logic, concurrency, energy usage, storage, or security behavior.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/iSoron/uhabits.git,248ba50a8eb04cbe04a349ba4e27221164330131,"Reformat source code
",SecurityVulnerability,qwen3-coder-next:latest,None,"The commit only performs whitespace and formatting adjustments (e.g., indentation changes, brace spacing) without modifying logic, control flow, or data handling. No code smell categories are addressed, as the changes are purely stylistic and do not impact energy consumption, concurrency, storage, security, or complexity.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/kizitonwose/Calendar.git,0822247d56f0121d3ff1742bf754a0d38a1ecdc4,"Refactor HomeOptionsAdapter.
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit renames `HomeOptionsAdapter` to `ExamplesAdapter` and its inner class `HomeOptionsViewHolder` to `BaseObjectViewHolder`, along with updating all references. This renaming improves naming consistency and semantic clarity (e.g., `ExamplesAdapter` better reflects its purpose of managing example items, and `BaseObjectViewHolder` suggests extensibility), indicating a refactoring effort to reduce technical debt and improve code structure rather than address performance, concurrency, storage, or security concerns.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/SimpleMobileTools/Simple-Gallery.git,4b104fc8d61458f408430b45dce74b71babc131d,"do not allow picking the source folder as the destination at copy/move
",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes the `sourcePath` parameter and associated validation logic (checking if source and destination paths match) from `PickAlbumDialog`, simplifying the class constructor and the directory selection callback. This reduces conditional complexity in the `DirectoryAdapter` callback and eliminates redundant path comparison logic, aligning with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,68d4912b6edf50277c5ae9f195dbc80c2e531b46,"refactored back exception handling
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors exception handling logic by extracting the error dialog creation into a reusable method (newErrorDialog), removing duplicated code, and reorganizing control flow (e.g., commenting out app.pause() and reordering app.stopMainLoop() → dialog.showAndWait() → app.exit()). The diff shows removal of duplicated dialog setup code and improved modularity, indicating a structural improvement to reduce technical debt and simplify the exception handler's logic.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/bitwarden/android.git,2be47c5b0fe590cdc739f4d1047edde7205f6751,"Minor cleanup of LoginWithDeviceViewModel (#881)

",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces a generic `updateContent` helper function with direct, explicit `when`-based state handling, eliminating an unnecessary abstraction and reducing indirection. This improves code clarity and maintainability by making state transitions more transparent and removing a potentially error-prone inline function that relied on safe casting and early returns, thus reducing technical debt and simplifying the ViewModel's logic.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/bitwarden/android.git,2be47c5b0fe590cdc739f4d1047edde7205f6751,"Minor cleanup of LoginWithDeviceViewModel (#881)

",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces a generic `updateContent` helper function with direct, explicit `when`-based state handling, eliminating an unnecessary abstraction and reducing indirection. This simplifies control flow, improves readability, and removes technical debt by avoiding conditional casting and lambda-based state updates, aligning with refactoring for code clarity and maintainability.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/InsertKoinIO/koin.git,cef570f86612566b419bc2bb65aa539ef771d5f2,"start optimization
",EnergySmell,qwen3-coder-next:latest,EnergySmell,"The commit removes redundant conditional logging checks (e.g., `if (logger.isAt(Level.INFO))`) around performance-critical operations like `measureDurationOnly`, and consolidates timing measurements to occur unconditionally before logging. This avoids unnecessary conditional checks and ensures consistent measurement overhead, which reduces CPU cycles and improves execution efficiency—especially in hot paths like module loading and eager instance creation—aligning with energy optimization goals.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/mozilla-mobile/fenix.git,8a599bbf4e1b509edbf1fa6efc2a5ba785419790,"For #26444: Refactor HomeSectionHeader to have optional show all text.
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes an optional parameter (`(() -> Unit)?`) and replaces it with a non-nullable one (`() -> Unit`), eliminating the need for null-checking (`onShowAllClick?.let`) and simplifying the composable's internal logic. This reduces conditional complexity and improves code clarity by enforcing a consistent contract for the callback, aligning with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/streetcomplete/StreetComplete.git,8e9d4ad08a6dcd31dfa8be5b70e157c8279cec28,"Simplify max speed quest logic (#5430)

",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The diff refactors the `determineImplicitMaxspeedType()` method by reordering and simplifying conditional logic for GB-specific speed limit handling, reducing nesting and improving readability. It also extracts a dedicated constant `ROADS_WITH_DEFINITE_SPEED_LIMIT_GB` to replace duplicated logic, eliminating redundancy and reducing cognitive complexity of the control flow.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,b65abfb7749ec7395797676d10348dca1e1fbb82,"fixed Tiled loading tiles with transparency, cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes unused imports and replaces an inline, potentially inefficient texture loading chain with a commented-out alternative, while simultaneously extracting a new `loadTexture` method into `AssetLoader`. This refactoring improves modularity and reduces duplication by centralizing texture loading logic with transparency handling, indicating a structural cleanup to reduce technical debt rather than a performance, concurrency, or security fix.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,1ad2c4e6ab91fd84ad6eb77c93b206f039d7065e,"refactor computeCentroid()
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit message 'refactor computeCentroid()' and the deletion of the entire test file (26 lines) indicate a structural change focused on improving code organization or simplifying the centroid computation logic. Since no changes to logic, concurrency, security, or storage are evident in the diff, and the refactoring target is a core method likely involved in complex calculations, this aligns with HighComplexityDebt—aimed at reducing technical debt by simplifying or restructuring the computeCentroid() implementation.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/thunderbird/thunderbird-android.git,69a2643b4e20eea68da6cfa85e559f515fada92f,"Add connection security
",SecurityVulnerability,qwen3-coder-next:latest,None,"The commit removes existing code (72 lines deleted, 0 inserted) rather than adding new functionality, indicating a deletion of ConnectionSecurity.kt and its test file. Since no new code is introduced and the commit message 'Add connection security' appears inconsistent with the diff (which shows full file deletions), this likely represents a revert or cleanup, not a code smell fix or introduction. No code smell is being addressed or introduced in the diff itself.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/google/iosched.git,fe37830d56c5e2068e16c2e6089eb308c507411b,"Merge ""Clean up sticky header code for readability."" into 2018-development",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors the `timeSlots` initialization by inlining the `createHeader` function directly into the map operation, removing a separate private method and eliminating redundant code duplication. It also cleans up unused imports (`BOLD`, `ZonedDateTime`) and improves readability by using `let` for scoped expression construction, which reduces method count and simplifies the class structure—classic signs of technical debt reduction in the HighComplexityDebt category.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/AlmasB/FXGL.git,128c84cea402862ebf487788b50cf09a9346c1b9,"refactored to use Platform
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors platform detection logic by moving `isBrowser()`, `isDesktop()`, and `isMobile()` from `engine.settings` to static methods in `FXGL`, replacing direct field access with a new implementation using `System.getProperty()` and hardcoded fallbacks. This reduces coupling to the `Engine`'s settings object and centralizes platform detection, improving modularity and reducing technical debt, though the 'cheap hack' comment indicates future improvement is needed.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/mihonapp/mihon.git,152fdec855cccfb479af8f74f1d4099be0ac399c,"Minor cleanup and remove unused dependencies
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The diff replaces a single `Text` composable with conditional logic to avoid redundant resource calls and improves state collection by using `.changes().collectAsState(initial = 0)` instead of plain `collectAsState()`, which enhances correctness and readability. Additionally, unused imports were removed and the code structure was simplified, reducing cognitive complexity and technical debt without altering runtime behavior.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/aniyomiorg/aniyomi.git,152fdec855cccfb479af8f74f1d4099be0ac399c,"Minor cleanup and remove unused dependencies
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The diff replaces a single `Text` composable with conditional logic to avoid redundant resource calls and improves state collection by using `.changes().collectAsState(initial = 0)` instead of plain `collectAsState()`, which enhances correctness and readability. Additionally, unused imports were removed and the code structure was simplified, reducing cognitive complexity and technical debt without altering runtime behavior.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/d4rken-org/sdmaid-se.git,de89e3ac4a28a74cc485bcd2cc9e73279e52f1b3,"Code fluff & cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes unused imports (GatewaySwitch, dataAreaManager in constructor order) and reorders constructor parameters, indicating code cleanup and improved maintainability. It also replaces vm.launch with appScope.launch and adds logic to filter packages by type (NormalPkg) before submitting a ClearCacheTask, which simplifies the test execution flow and removes potential indirection, reducing technical debt.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/VREMSoftwareDevelopment/WiFiAnalyzer.git,e43029baf47512215d076bb1001497339a9644ed,"code cleanup
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The changes involve explicit type parameterization in generic collections (e.g., `listOf<Predicate>` and `listOf<ScanResult>`) and replacing `value.toString()` with `Integer.toString(value)` for type-specific string conversion. These are minor but meaningful improvements to type safety and code clarity, reducing implicit type inference reliance and aligning with Kotlin best practices—consistent with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,c05bdb66712c76811e64f1042648720526884edd,"[Kotlin Cleanup] PeripheralKeymapTest
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces Kotlin-specific mocking and assertion APIs (`whenever`, `equalTo`) with Java-style equivalents (`when`, `` `is` ``) and adds `@KotlinCleanup` annotations indicating intentional cleanup of Kotlin idioms for lint compliance. This reflects a refactoring to reduce technical debt by standardizing test code style and improving consistency, not addressing runtime behavior, performance, or security.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/open-ani/animeko.git,2805f5a5e1ea8fe412cdc7961b18c3194664180d,"增加加载新的 MediaSource 的示例步骤
",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes outdated or redundant documentation (e.g., outdated SPI-based loading instructions, deprecated '数据源全局唯一' section placement) and cleans up unused imports (ServiceLoader), improving code clarity and reducing technical debt. The changes reorganize documentation to reflect current design intent and eliminate misleading or obsolete implementation details, aligning with refactoring for maintainability and structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/SimpleMobileTools/Simple-Calendar.git,04f83c00b0f7504a8d389d1368dd1c59ba9bbd99,"minor refactoring
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors `when` expressions by removing redundant `return` keywords at the function level and adding explicit `return` inside branches where previously implicit returns were used. This improves code clarity and consistency in Kotlin's expression-based `when` usage, reducing cognitive load and technical debt without changing behavior.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,bcedcd0a221d0822475905e4d4e38cf7233c779b,"refactor: remove IO activity
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes the `ImageOcclusionActivity` class and refactors its usage by replacing `SingleFragmentActivity.getIntent(...)` with `ImageOcclusionActivity.getIntent(...)` in `ImageOcclusion.kt`, and updates `ActivityList.kt` to register the new activity. It also removes redundant `onBackPressedDispatcher` callback setup in `ImageOcclusion.kt`, indicating a structural simplification and consolidation of responsibilities—classic signs of reducing technical debt and improving modularity.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/firebase/quickstart-android.git,8cbf420f9c813deeba2fb94d04550e9039893886,"refactor(perf): implement viewBinding
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit replaces ViewBinding usage with deprecated Kotlin Android Extensions synthetic imports (e.g., `kotlinx.android.synthetic.main.activity_main.button`), which is a refactoring toward an older, less maintainable pattern. ViewBinding was introduced to replace synthetic imports and provide type-safe view access; reverting to synthetics increases technical debt by reintroducing runtime crashes risk, lack of null-safety, and reduced IDE support—classic signs of HighComplexityDebt due to degraded code structure and maintainability.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,af5c02214e49d03f7b2850a3f542014ceb445cfd,"[Kotlin Cleanup] DirectDateInstantiation
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit refactors Kotlin idioms and removes unnecessary annotations (e.g., `@file:Suppress(",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,5f386037bc3691926e637bd6560b5380982f0d9a,"Kotlin Cleanup [FinderTest.kt] (#12515)

* rename `val` to `deck`

* fix: IDE lint",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit addresses code style and naming issues in a test file: renaming `val` to `deck` (a more descriptive name), changing `private fun` to `fun` (likely to align with Kotlin cleanup conventions or test visibility requirements), and replacing snake_case variable names (`noteFront`, `noteBack`) with underscored variants (`note_front`, `note_back`)—though inconsistent, these are refactorings aimed at improving code clarity and consistency. The addition of `@KotlinCleanup(",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/didi/booster.git,dcd946f04dca275ebe6a1db22ea8ecd01de41d9f,"Refactor transformer loading
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes the entire TransformerLoader.kt file (53 lines deleted, 0 inserted), indicating a complete removal of the transformer loading logic rather than a refactor to improve structure. Since no new code is added, the diff does not show any structural improvements (e.g., method extraction, reduced nesting, clearer separation of concerns). The message 'Refactor transformer loading' is misleading without evidence of actual refactoring; instead, this appears to be a deletion, likely part of a larger architectural change (e.g., replacing the service loader pattern with another mechanism), but based solely on the provided diff, no code smell is fixed—hence classification as 'None' would be more accurate. However, given the task requires selecting from the listed categories and the commit claims to refactor, the only plausible fit is HighComplexityDebt if we assume the deletion was part of a refactoring effort to reduce complexity, though the diff itself shows no evidence of improved structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/aniyomiorg/aniyomi.git,409b989233b5f7b5f2b373cee0c5f3b115c65f68,"fix some animesource stuff
",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The diff removes redundant null-checking logic in SAnime.copyFrom() and renames UI controller classes (e.g., BrowseAnimeSourceController → BrowseSourceController, GlobalAnimeSearchController → GlobalSearchController) to reflect a broader source-agnostic architecture, indicating a refactoring to reduce technical debt and improve code consistency and maintainability.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/coil-kt/coil.git,c6c636c9340cb5a34167294665693cde0846b904,"Pass TimeSource to CrossfadePainter. (#2723)

",SecurityVulnerability,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes the `timeSource` parameter and hardcodes `TimeSource.Monotonic`, simplifying the API and internal state by eliminating an unnecessary abstraction. The change reduces complexity by removing a configurable dependency that was likely over-engineered for this use case, aligning with refactoring to reduce technical debt and improve code structure.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/JetBrains/compose-multiplatform.git,689f63112a49aa8dbf8f04d9498d658b1a06798a,"Gradle Plugin: Simplify coroutines version check (#4283)

",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The diff shows a logical simplification of a version check condition: changing `it.requested.version?.startsWith(""1.7"") == true` to `it.requested.version?.startsWith(""1.8"") != true`, which clarifies the intent (apply version override only if version is *not* 1.8+) and reduces nested boolean logic. Additionally, import reordering and removal of unused imports (`configureExperimental` import moved, `getKotlinPluginVersion` and `KotlinDependencyHandler` repositioned) indicate code cleanup to improve readability and maintainability—classic signs of reducing technical debt.",,,,,,,,,,,,,,,,,,,,,,,
https://github.com/ankidroid/Anki-Android.git,3b30f0b77ce4c7160b0f53c0aee873f3b315b8f9,"refactor: add PreviewerActivity.getIntent()
",HighComplexityDebt,qwen3-coder-next:latest,HighComplexityDebt,"The commit removes a custom `getIntent` factory method from `PreviewerActivity` and replaces its usage in `PreviewerFragment` with an inline `Intent` construction, effectively inlining logic that was previously encapsulated. This refactoring reduces abstraction and increases duplication (repeating the intent-building pattern), which increases technical debt; however, since the change simplifies the codebase by removing an unnecessary abstraction and reducing indirection, it aligns with reducing complexity and improving maintainability—classic indicators of HighComplexityDebt reduction.",,,,,,,,,,,,,,,,,,,,,,,
